"2-pixel perimeter around the header space.","2-pixel perimeter around the header space."
"3D Secure Card Validation","3D Secure Card Validation"
"<a href=""http://www.magentocommerce.com/paypal"" target=""_blank"">Sign up for PayPal Merchant Account now!</a>","<a href=""http://www.magentocommerce.com/paypal"" target=""_blank"">Sign up for PayPal Merchant Account now!</a>"
"<a href=""http://www.magentocommerce.com/paypal"" target=""_blank"">Sign up for PayPal Merchant Account now!</a><br />
                    <a href=""http://www.paypal.com/en_US/m/demo/18077_ec.html"" target=""_blank"">See Demo</a>","<a href=""http://www.magentocommerce.com/paypal"" target=""_blank"">Sign up for PayPal Merchant Account now!</a><br />
                    <a href=""http://www.paypal.com/en_US/m/demo/18077_ec.html"" target=""_blank"">See Demo</a>"
"API / Integration","API / Integration"
"API Password","API Password"
"API Signature","API Signature"
"API Username","API Username"
"Accept PayPal payments","Accept PayPal payments"
"Accept credit cards online","Accept credit cards online"
"Acceptance Mark","Acceptance Mark"
"Acceptance Mark Image","Acceptance Mark Image"
"Account","Account"
"Additional Option Logo","Additional Option Logo"
"Additional Options","Additional Options"
"Address Verification System Response","Address Verification System Response"
"All the address information matched","All the address information matched"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile)."
"Allowed Credit Card Types","Allowed Credit Card Types"
"Attempted Authentication, Bad Result","Attempted Authentication, Bad Result"
"Attempted Authentication, Good Result","Attempted Authentication, Good Result"
"Authenticated, Bad Result","Authenticated, Bad Result"
"Authenticated, Good Result","Authenticated, Good Result"
"Authorization","Authorization"
"Authorization expired.","Authorization expired."
"Authorization transaction is required to void.","Authorization transaction is required to void."
"Authorization was voided by merchant.","Authorization was voided by merchant."
"Authorize and Capture","Authorize and Capture"
"Billing Address","Billing Address"
"Billing Information","Billing Information"
"Business Account","Business Account"
"Buttons Flavor (Website Payments Pro)","Buttons Flavor (Website Payments Pro)"
"CVV2 Check Result by PayPal","CVV2 Check Result by PayPal"
"Centinel Api Custom URL","Centinel Api Custom URL"
"Change Payment Method","Change Payment Method"
"Change Shipping Address","Change Shipping Address"
"Compliments any payment solution","Compliments any payment solution"
"Countries Payment Applicable From","Countries Payment Applicable From"
"Credit application required","Credit application required"
"Customer failed to pay.","Customer failed to pay."
"Customer used an unconfirmed address.","Customer used an unconfirmed address."
"Customers make payments on YOUR site","Customers make payments on YOUR site"
"Debit or Credit Card","Debit or Credit Card"
"Debug API Calls","Debug API Calls"
"Debug Interactions with PayPal","Debug Interactions with PayPal"
"Discount","Discount"
"Dynamic","Dynamic"
"Edit Shopping Cart","Edit Shopping Cart"
"Email address to accociate with PayPal","Email address to accociate with PayPal"
"Enable PayPal Guest Checkout","Enable PayPal Guest Checkout"
"Enabled","Enabled"
"Exact Match. Address and Postal Code. International","Exact Match. Address and Postal Code. International"
"Exact Match. Address and Postal Code. UK-specific","Exact Match. Address and Postal Code. UK-specific"
"Exact Match. Address and nine-digit ZIP code","Exact Match. Address and nine-digit ZIP code"
"Explanation: %s.","Explanation: %s."
"Express Checkout","Express Checkout"
"Express Checkout Settings","Express Checkout Settings"
"Express Checkout and Order have been canceled.","Express Checkout and Order have been canceled."
"Express Checkout has been canceled.","Express Checkout has been canceled."
"General PayPal Settings","General PayPal Settings"
